,canton,population,birth,death,migration_international,migration_national,year,Total,0,01,02,03,08,1,11,12,13,14,15,16,18,2,21,22,23,25,26,27,28,29,3,31,32,33,34,35,38,4,41,42,43,48,49,5,51,52,53,54,55,56,57,58,59,6,61,62,63,64,68,7,71,72,73,74,75,76,77,78,79,8,81,82,83,84,85,86,87,88,89,9,91,92,93,94,95,96,97,99
0,zh,1143249.0,13067.0,10807.0,9204.0,-2961.0,1991,6635073.32147,129910.60561,376.9532,129533.65241,,,160636.64666,28060.62185,12472.2066,,73066.09961,16845.4191,30192.2995,,157672.10375,81445.90115,37252.6299,35241.65875,929.119,,,,2802.79495,97919.42935,2983.21633,49794.16152,5685.1672,39456.8843,,,810333.64098,768991.36437,5861.64675,20750.59136,,14730.0385,619278.01517,,33083.95706,299673.5704,65286.87732,3211.96855,75895.9004,142125.74144,,,133059.5885,119280.62735,11724.01415,2054.947,,,383840.32546,1027.55,260886.75191,92468.8548,1458.375,1793.198,,24317.93365,,1887.6621,106392.32145,1803.51215,17188.0935,43.5356,130.06295,306.123,,72770.71635,,14150.2779,4036030.64454,3521878.84312,,127886.275,,1847.2657,384418.26072,,
1,be,942425.0,11388.0,9607.0,5985.0,-566.0,1991,5625321.10506,68663.71707,511.0718,68152.64527,,,131636.77425,33470.73946,907.9504,,21864.67984,26241.07875,49152.3258,,250089.35742,49068.85727,6173.5047,178307.5143,1046.61225,235.93795,3697.30925,,11559.6217,27494.8448,1001.35115,5211.8079,310.7732,20970.91255,,,1359349.22096,1341797.35501,4517.41055,9149.36005,,3885.09535,423873.24043,392.0328,3174.25085,63789.79584,7525.9242,4760.2196,7067.89525,337100.54689,,62.575,72947.05398,72558.01348,287.5585,101.482,,,283480.15675,2026.90335,166177.37235,89049.394,3234.50855,14.6005,,16159.9638,,6817.4142,399979.79787,276568.2798,38994.6079,0.211,468.17345,668.20365,175.88,83006.40727,,98.0348,2607806.94153,2329158.17813,,57929.941,,10196.47995,210522.34245,,
2,lu,321424.0,4615.0,2799.0,3088.0,-288.0,1991,1341358.79689,29201.67024,182.758,29018.91224,,,41411.44617,6476.11497,102.54,,13566.3892,12907.19415,8359.20785,,162089.8458,122467.49785,7334.45295,30750.7798,309.0,,689.83645,,538.27875,13063.82359,1626.5936,5355.9526,268.91775,5812.35964,,,58763.8222,54502.41375,397.5409,3860.18025,,3.6873,113074.79253,2651.0932,,75019.91165,4947.95701,96.24775,451.41379,29908.16913,,,24112.48045,22810.30445,1302.176,,,,83919.3369,7982.8496,45180.1959,23061.90945,2191.6711,95.69875,,2651.1732,,2755.8389,32103.0021,668.3301,2075.66205,26.33145,31.5188,492.44375,,28808.71595,,,783618.57691,699120.1944,,39084.768,,8.5059,45405.10861,,
3,ur,35029.0,445.0,309.0,257.0,-59.0,1991,104794.54637,3605.22211,36.2044,3569.01771,,,2988.5115,7.406,,,250.69825,1028.5189,1701.88835,,22317.4046,22312.076,5.3286,,,,,,,1254.7552,607.42555,152.02055,,494.6091,0.7,,240.54005,,106.3855,94.15455,,40.0,6870.0727,,,6079.37855,16.6935,,13.3229,303.94975,,456.728,1488.26665,1473.1281,15.13855,,,,16756.52743,498.5335,8988.92978,1736.4033,5308.53345,,,224.1274,,,2790.84925,13.56805,1305.3487,,243.9965,,,1227.936,,,46482.39688,40118.32994,,2117.649,,1920.54265,2325.87529,,
4,sz,111075.0,1621.0,910.0,1205.0,562.0,1991,437237.02922,7529.51515,,7529.51515,,,15251.36184,10.9407,1569.12779,,5657.37685,3603.8984,4410.0181,,38889.20613,36778.84003,3.8005,2106.5656,,,,,,1813.52315,746.1119,229.2867,52.0,773.75645,12.3681,,54832.82237,54076.17442,0.425,716.9837,,39.23925,41019.03445,,1.4038,32619.45215,0.6,,163.35715,8234.22135,,,4828.6698,4060.40275,679.24705,89.02,,,35197.91689,3091.41025,23277.2519,7647.33879,458.9103,,,646.08565,,76.92,4278.0055,35.0463,116.59715,,0.6398,25.548,400.0,3455.79675,,244.3775,233596.97394,190578.13026,,10008.50179,,25105.69476,7904.64713,,
5,ow,29017.0,429.0,265.0,316.0,191.0,1991,100265.62989,2993.57465,53.00285,2940.5718,,,2663.5518,0.18,,,256.0663,788.94915,1618.35635,,2187.8681,2001.23635,16.02545,170.6063,,,,,,2404.44515,10.0,54.3708,18.189,2321.88535,,,1826.8732,1283.50725,263.73015,279.6358,,,2498.73308,,,1175.8773,0.264,,234.31505,1088.27673,,,4861.02028,4692.08228,168.938,,,,5404.3812,1262.36565,2700.46305,1251.46725,,12.362,,139.78025,,37.943,5798.092,1.3585,4974.6215,,,17.4652,,772.6321,,32.0147,69627.09043,64853.65528,,1300.232,,1757.112,1716.09115,,
6,nw,33678.0,523.0,248.0,322.0,69.0,1991,102952.52275,2806.86021,8.05515,2798.80506,,,2968.23145,,,,335.52345,1218.34935,1414.35865,,5181.35644,4242.90499,313.32945,625.122,,,,,,2339.9077,541.608,18.74935,340.50935,1439.041,,,36.40375,,,36.40375,,,1923.75735,,,1153.51995,178.1517,,,587.0857,,5.0,648.6342,647.6342,1.0,,,,11591.80405,389.30865,4108.30735,3126.4416,3837.1403,,,111.60615,,19.0,665.7524,,565.2814,,15.221,,,85.25,,,74789.8152,64711.4605,,4466.807,,4951.75695,659.79075,,
7,gl,38200.0,523.0,412.0,392.0,17.0,1991,186567.6196,1506.92175,75.97855,1430.9432,,,3954.88975,,,,510.00495,1229.05905,2215.82575,,24365.44075,23866.10275,334.53,,,,164.808,,,843.1582,0.86,4.32,,837.9782,,,321.9375,,,321.9375,,,15230.5214,,,11893.75115,39.17,15.97045,,3281.6298,,,3401.824,3401.824,,,,,15419.493,,10332.01165,3979.11465,617.154,,,410.3687,,80.844,33704.3182,925.43755,29416.21765,27.182,30.0,4.032,54.29615,3231.73685,,15.416,87819.11505,20308.97935,,3425.818,,52787.73415,11296.58355,,
8,zg,84412.0,1072.0,568.0,817.0,149.0,1991,491500.90352,3430.41765,2.3266,3428.09105,,,9286.08182,1837.12015,,,2069.39872,2365.35155,3014.2114,,49249.7754,43317.7285,3118.80345,2781.83555,,,12.0279,,19.38,3842.5235,530.002,1700.6336,,1611.8879,,,73864.3685,72786.83985,29.7382,1047.79045,,,12179.35205,3.048,,5144.34165,179.9411,,2274.1807,4577.8406,,,2857.4921,2792.67325,11.147,53.67185,,,15632.90095,26.6364,10230.94915,4252.59795,717.967,253.24665,,145.0438,,6.46,11118.3856,0.73,1634.9874,23.2233,0.38715,,,9459.05775,,,310039.60595,265889.77855,,30936.2592,,1870.13795,11343.43025,,
